objectid,id,nombre_est,rue,respaldo_i,origen_alt,url_ficha,altura,cod_com,uuid,longitud,latitud,altura
56,188,Pabellón,0,"Nº 1729 Clasifica la Estación de Monitoreo con representatividad poblacional,  para gas de dióxido de azufre (EMRPG) a las 6 estaciones de monitoreo de la Fundición",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=188,844,03103,5798c0ec-a22d-4923-a286-4c617b92994a,-70.23531057899999,-27.657611840999948,844
57,192,Tierra Amarilla,0,"Nº 545 Clasifica la Estación con representatividad poblacional,  a las estaciones de Tierra Amarilla, San Fernando, Copiapó<br />
Nº 1729 Clasifica la Estación de Monitoreo con representatividad poblacional,  para gas de dióxido de azufre (EMRPG) a las",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=192,608,03103,5798c0ec-a22d-4923-a286-4c617b92994a,-70.26587345699994,-27.475666812999975,608
58,100,Hospital,0,RCA y Res. N° 3040 de 28.12.2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=100,1037,04103,5798c0ec-a22d-4923-a286-4c617b92994a,-71.08421547299997,-30.224371710999947,1037
59,99,Chepiquilla,0,"RCA, posteriormente se dio la representatividad poblacional por Resolución Nº166 del 26 de Enero del 2005, SEREMI de Salud",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=99,1107,04103,5798c0ec-a22d-4923-a286-4c617b92994a,-71.08470908499999,-30.255135567999957,1107
60,82,El Sauce,0,RCA y Res. N° 3040 de 28.12.2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=82,1102,04103,5798c0ec-a22d-4923-a286-4c617b92994a,-71.09244358299998,-30.23469624699993,1102
61,78,Urmeneta - Plaza Centenario,0,"RCA, posteriormente se dio la representatividad poblacional por Resolución Nº166 del 26 de Enero del 2005, SEREMI de Salud",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=78,1102,04103,5798c0ec-a22d-4923-a286-4c617b92994a,-71.08584733199996,-30.23966394499996,1102
62,94,El Mauro,0,RCA N° 038/04 y Representatividad Poblacional a través de Res. N° 2908 de 13 de diciembre de 2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=94,937,04203,5798c0ec-a22d-4923-a286-4c617b92994a,-71.01044884399994,-31.973737307999954,937
63,89,Caimanes,0,RCA N° 038/04 y Representatividad Poblacional a través de Res. N° 2908 de 13 de diciembre de 2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=89,552,04203,5798c0ec-a22d-4923-a286-4c617b92994a,-71.13651349299994,-31.92774512799997,552
64,98,Tranquilla,0,RCA N° 038/04 y Representatividad Poblacional a través de Res. N° 2908 de 13 de diciembre de 2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=98,1157,04204,5798c0ec-a22d-4923-a286-4c617b92994a,-70.67857812299997,-31.89395227199998,1157
65,97,Quelen Alto,0,RCA N° 038/04 y Representatividad Poblacional a través de Res. N° 2908 de 13 de diciembre de 2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=97,874,04204,5798c0ec-a22d-4923-a286-4c617b92994a,-70.83584009899994,-31.894709030999934,874
66,95,Hotel Mina,0,RCA N° 038/04 y Representatividad Poblacional a través de Res. N° 2908 de 13 de diciembre de 2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=95,2706,04204,5798c0ec-a22d-4923-a286-4c617b92994a,-70.53321524999996,-31.78056015599998,2706
67,93,Cuncumen,0,RCA N° 038/04 y Representatividad Poblacional a través de Res. N° 2908 de 13 de diciembre de 2006 de la SEREMI de Salud,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=93,1237,04204,5798c0ec-a22d-4923-a286-4c617b92994a,-70.62140144299997,-31.89344086099993,1237
